n,heapsort.ticks
150000,10265161
180000,12524355
210000,14795978
240000,17080305
270000,19385934
300000,21738426
330000,24103961
360000,26486464
390000,28871105
420000,31264328
450000,33676114
480000,36078190
510000,38487434
540000,40937554
570000,43391851
600000,45878465
630000,48359091
660000,50847946
690000,53344106
720000,55843669
750000,58353820
780000,60867135
810000,63376043
840000,65901507
870000,68417480
900000,70943984
930000,73463065
960000,76002628
990000,78523471
1020000,81062518
1050000,83604546
1080000,86191153
1110000,88769094
1140000,91354465
1170000,93941926
1200000,96551014
1230000,99151058
1260000,101762116
1290000,104368498
1320000,106985723
1350000,109586949
1380000,112220343
1410000,114840607
1440000,117458369
1470000,120077901
