n,heapsort.time
150000,141
180000,179
210000,227
240000,275
270000,338
300000,402
330000,458
360000,502
390000,572
420000,680
450000,742
480000,785
510000,785
540000,845
570000,919
600000,1001
630000,1100
660000,1141
690000,1194
720000,1244
750000,1348
780000,1391
810000,1492
840000,1527
870000,1663
900000,1709
930000,2024
960000,1822
990000,2234
1020000,1935
1050000,2142
1080000,2206
1110000,2310
1140000,2299
1170000,2472
1200000,2406
1230000,3032
1260000,2594
1290000,2786
1320000,3363
1350000,3416
1380000,3698
1410000,3146
1440000,3334
1470000,3335
