Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values
0,174,-187738071,1013556669
1,52,-816591523,2063549921
2,29,-1374767777,1316138987
3,58,-699473297,1783700942
4,29,938404157,-719393732
5,13,-710406005,-1729722287
6,52,-44458021,-1124867659
7,78,-995683383,-27579466
8,78,1927604763,800625603
9,145,1183478766,-1108881838
10,13,-1019846363,-135641602
11,174,-39024525,-1378974078
12,58,1321838855,518719669
13,116,552887237,279618669
14,87,-1060272943,1525790195
15,145,-828084658,-1565769047
16,39,-118009014,-90888653
17,58,573409282,-1270660784
18,65,102727582,362903913
19,174,-192921822,1536404696
20,65,383573541,-1539526279
21,58,-72401149,-330381279
22,13,1417539420,1099402506
23,87,1162737546,-2037493451
24,145,1368265810,-1256510532
25,58,974157260,1766981621
26,39,711792053,1951559811
27,65,-1598766074,1686212895
28,145,1854534405,-962138191
29,39,1128488601,2085440609
30,145,-2094192638,-109022104
31,116,1699898140,1964719706
32,58,167987495,-734688187
33,78,1724542199,-236841411
34,65,880623722,-1254710177
35,26,881206789,-685944710
36,65,22430210,-1673104412
37,78,-1541024606,-1704197773
38,13,2083124747,-1178086016
39,29,1186744334,-1384928662
40,174,-499866112,-892615014
41,26,-1452193625,477616717
42,116,1066806466,-2094954370
43,39,347434983,-1181349475
44,174,1950612343,-1660551101
45,87,-234359828,1491856984
46,39,198946200,1434751294
47,52,-2107300093,20967129
48,52,-55490923,1938651689
49,174,-1084993102,-1580559523
50,52,1296907654,1533293736
51,29,787555713,1607647513
52,52,-1233103998,-325883392
53,52,1707575156,-455051441
54,13,619847516,-1219630147
55,52,673952302,2133595079
56,174,393641990,1442992061
57,116,-2009137972,-1035311412
58,26,-534134013,-497711145
59,39,1113123052,-164542183
60,58,-1238176950,1031920539
61,65,-128321317,661707812
62,78,-1999510568,908376818
63,52,-2126507548,745746429
64,26,-1093320299,-1304678957
65,78,-201644583,1005792789
66,52,278476682,1283682833
67,145,1737537220,-1983474250
68,52,1748390155,-1898856831
69,39,59445463,-1360280304
70,29,-1549208933,2119687791
71,13,1208769609,588751384
72,39,1624262964,1611357757
73,78,-220280182,-1872575979
74,65,-787449234,-210576678
75,58,-2060212479,-2038179003
76,58,1521812962,-1945446072
77,29,-689767234,1749515411
78,39,-1777244166,1472523786
79,116,1405421134,-1983557524
80,145,-738455600,-1786336299
81,65,-1749086595,2000082626
82,174,-210153258,1356524784
83,52,275176641,1528099086
84,52,1260476968,207049334
85,13,925737814,-187971905
86,116,-97024884,676011816
87,29,1143604492,-258150642
88,116,1359225707,-1047742696
89,116,2069274316,425457300
